ASIN,country,url,bsr_main_category,bsr_main_rank,bsr_sub_category,bsr_sub_rank,rating,review_count
B09LM1S39F,US,https://www.amazon.com/dp/B09LM1S39F,Office Products,210789,Badge Holders,6279,4.4,264
B09TFYNHYM,US,https://www.amazon.com/dp/B09TFYNHYM,Office Products,58061,Badge Lanyards,342,4.6,134
B09DRX2YW8,US,https://www.amazon.com/dp/B09DRX2YW8,Office Products,65976,Badge Holders,1755,4.6,108
B009S3RJH2,US,https://www.amazon.com/dp/B009S3RJH2,Office Products,32726,Badge Lanyards,181,4.8,3196
B0B3JL8KZX,US,https://www.amazon.com/dp/B0B3JL8KZX,Office Products,35526,Badge Lanyards,203,4.5,31
B0C5CH8MJS,US,https://www.amazon.com/dp/B0C5CH8MJS,Office Products,142717,Badge Holders,4180,4.7,36
B09DS2JDLZ,US,https://www.amazon.com/dp/B09DS2JDLZ,Office Products,47391,Badge Holders,1196,4.4,146
B07H55VFB6,US,https://www.amazon.com/dp/B07H55VFB6,Office Products,2664,Badge Holders,41,4.5,7290
B0DL4N2QTY,US,https://www.amazon.com/dp/B0DL4N2QTY,Office Products,2569,Badge Holders,38,4.6,234
B09J4BMF79,US,https://www.amazon.com/dp/B09J4BMF79,Office Products,2486,Badge Holders,33,4.6,7577
B0CQG8LMW3,US,https://www.amazon.com/dp/B0CQG8LMW3,Office Products,34521,Badge Holders,825,4.6,52
B0CZ7691PM,US,https://www.amazon.com/dp/B0CZ7691PM,Office Products,191240,Badge Holders,5681,4.6,37
B0DXZ4H49Z,US,https://www.amazon.com/dp/B0DXZ4H49Z,Office Products,73300,Badge Holders,2320,,
B0C4V9Q7F1,US,https://www.amazon.com/dp/B0C4V9Q7F1,Office Products,10727,Badge Holders,221,4.5,454
B0CWYR6PSC,US,https://www.amazon.com/dp/B0CWYR6PSC,Office Products,9904,Badge Holders,206,4.1,163
B0BKZPXHYR,US,https://www.amazon.com/dp/B0BKZPXHYR,Office Products,6763,Badge Holders,133,4.5,1867
B09H4PNHCW,US,https://www.amazon.com/dp/B09H4PNHCW,Office Products,166735,Badge Holders,4920,3.9,7
B0DQPRHWBK,US,https://www.amazon.com/dp/B0DQPRHWBK,Office Products,11228,Badge Holders,235,4.7,67
B0CV6VK6KX,US,https://www.amazon.com/dp/B0CV6VK6KX,Office Products,95659,Badge Lanyards,696,4.7,15
B0DZ4FW9SR,US,https://www.amazon.com/dp/B0DZ4FW9SR,Office Products,221713,Badge Holders,6623,,
B0D4BWC46F,US,https://www.amazon.com/dp/B0D4BWC46F,Office Products,134380,Badge Lanyards,1096,4.7,19
B07WDPLZDS,US,https://www.amazon.com/dp/B07WDPLZDS,Office Products,30118,Badge Holders,720,4.6,3165
B0CGQ9N3M4,US,https://www.amazon.com/dp/B0CGQ9N3M4,Office Products,153311,Badge Holders,4505,4.6,5
B0CGV72NBQ,US,https://www.amazon.com/dp/B0CGV72NBQ,Office Products,42345,Badge Holders,1044,4.4,160
B0DM224LTJ,US,https://www.amazon.com/dp/B0DM224LTJ,Office Products,93023,Badge Holders,2577,4.8,6
B0BFJ5RHHZ,US,https://www.amazon.com/dp/B0BFJ5RHHZ,Office Products,7564,Badge Holders,154,4.6,1633
B0CZ68Z9K5,US,https://www.amazon.com/dp/B0CZ68Z9K5,Office Products,114335,Badge Lanyards,894,3.6,6
B08WHMMXFG,US,https://www.amazon.com/dp/B08WHMMXFG,Office Products,82725,Badge Holders,2256,4.7,119
B0DFGK4N2Y,US,https://www.amazon.com/dp/B0DFGK4N2Y,Office Products,205862,Badge Holders,6131,3.2,7
B0DSQQ83Y6,US,https://www.amazon.com/dp/B0DSQQ83Y6,Office Products,18824,Badge Lanyards,93,4.3,8
B0CS33JH73,US,https://www.amazon.com/dp/B0CS33JH73,Office Products,107053,Badge Holders,5668,3.7,5
B0BH9DTMBV,US,https://www.amazon.com/dp/B0BH9DTMBV,Office Products,103946,Badge Holders,2917,4.9,54
B0CR1L459Z,US,https://www.amazon.com/dp/B0CR1L459Z,Office Products,20968,Badge Holders,469,4.5,177
B0C69XMJFM,US,https://www.amazon.com/dp/B0C69XMJFM,Office Products,8479,Badge Holders,284,4.8,152
B0B26H6F36,US,https://www.amazon.com/dp/B0B26H6F36,,,,,4.8,5
B0D4ML8L1W,US,https://www.amazon.com/dp/B0D4ML8L1W,,,,,4.4,12
B0C3CWJ3F8,US,https://www.amazon.com/dp/B0C3CWJ3F8,,,,,4.2,10
B0CPWNLZTW,US,https://www.amazon.com/dp/B0CPWNLZTW,,,,,5.0,6
B01MSKFEPF,US,https://www.amazon.com/dp/B01MSKFEPF,Office Products,143414,Badge Holders,4205,4.3,125
B0D4FDFYWY,US,https://www.amazon.com/dp/B0D4FDFYWY,Office Products,363631,Badge Lanyards,3188,5.0,2
B09PL41PTR,US,https://www.amazon.com/dp/B09PL41PTR,Office Products,40010,Badge Holders,1986,4.6,42
B0CRDQ83TK,US,https://www.amazon.com/dp/B0CRDQ83TK,Office Products,16679,Badge Holders,350,4.7,365
B0BVM96BWB,US,https://www.amazon.com/dp/B0BVM96BWB,Office Products,230166,Badge Holders,6877,4.5,22
B0CSC2V8B7,US,https://www.amazon.com/dp/B0CSC2V8B7,,,,,,
B0C415M4Z6,US,https://www.amazon.com/dp/B0C415M4Z6,Office Products,204227,Badge Holders,6076,4.8,41
